,min_spectro_db,max_spectro_db,filename
153,-37.630936,42.369064,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
154,-38.23103,41.76897,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
155,-36.43791,43.56209,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
156,-37.01673,42.98327,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
157,-36.85382,43.14618,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
158,-34.49176,45.50824,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
159,-44.86441,35.13559,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
160,-37.280388,42.719612,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
161,-42.605453,37.394547,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
162,-38.258385,41.741615,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
163,-40.98645,39.01355,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
164,-36.618668,43.381332,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
165,-39.511223,40.488777,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
166,-40.26625,39.73375,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
167,-38.167862,41.832138,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
168,-36.79014,43.20986,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
169,-38.03291,41.96709,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
170,-41.16889,38.83111,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
171,-35.44687,44.55313,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
172,-36.15816,43.84184,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
173,-36.16808,43.83192,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
174,-38.846912,41.153088,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
175,-39.499832,40.500168,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
176,-42.009018,37.990982,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
177,-38.30024,41.69976,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
178,-38.169537,41.830463,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
179,-44.50023,35.49977,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
180,-42.242886,37.757114,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
181,-39.018692,40.981308,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
182,-39.37563,40.62437,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
183,-39.99716,40.00284,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
184,-39.94371,40.05629,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
185,-39.139523,40.860477,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
186,-40.533615,39.466385,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
187,-40.858284,39.141716,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
188,-39.170258,40.829742,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
189,-40.914474,39.085526,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
